"","name","city","country","region","members","fullurl","created","status","last_event","past_events","upcoming_events"
"145","R-Ladies Jujuy","Jujuy","Argentina","Latin America",119,"https://www.meetup.com/rladies-jujuy/",2020-11-20,"Active",2020-12-21,1,0
"146","R-Ladies St. Louis","Saint Louis","USA","US/Canada",698,"https://www.meetup.com/rladies-st-louis/",2017-08-28,"Active",2020-12-10,19,1
"147","R-Ladies PDX","Portland","USA","US/Canada",247,"https://www.meetup.com/rladies-pdx/",2017-07-20,"Inactive",2019-08-06,14,0
"148","R-Ladies Miami","Miami","USA","US/Canada",1102,"https://www.meetup.com/rladies-miami/",2017-06-03,"Active",2020-12-10,31,0
"149","R-Ladies Abuja","Abuja","Nigeria","Africa",145,"https://www.meetup.com/rladies-abuja/",2020-02-04,"Active",2020-08-08,2,1
"150","R-Ladies Twin Cities","Minneapolis","USA","US/Canada",393,"https://www.meetup.com/rladies-tc/",2015-04-01,"Active",2020-10-21,42,2
"151","R Users & R-Ladies Warsaw (Spotkania Entuzjastów R)","Warsaw","Poland","Europe",2782,"https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/",2014-10-06,"Active",2020-12-23,95,7
"152","R-Ladies Madison","Madison","USA","US/Canada",120,"https://www.meetup.com/R-Ladies-Madison/",2019-04-30,"Active",2020-12-11,9,0
"153","R-Ladies Istanbul","Istanbul","Turkey","Europe",1906,"https://www.meetup.com/rladies-istanbul/",2016-09-06,"Inactive",2020-07-08,35,0
"154","R-Ladies Budapest","Budapest","Hungary","Europe",862,"https://www.meetup.com/rladies-budapest/",2017-01-24,"Inactive",2020-01-29,33,0
"155","R-Ladies Austin","Austin","USA","US/Canada",626,"https://www.meetup.com/rladies-austin/",2017-01-31,"Inactive",2020-01-22,45,0
"156","R-Ladies Ankara","Ankara","Turkey","Europe",539,"https://www.meetup.com/rladies-ankara/",2019-07-01,"Active",2020-12-10,11,0
"157","R-Ladies Den Bosch","Den Bosch","Netherlands","Europe",110,"https://www.meetup.com/rladies-den-bosch/",2019-03-23,"Active",2020-11-24,6,0
"158","R-Ladies Ushuaia","Ushuaia","Argentina","Latin America",30,"https://www.meetup.com/rladies-ushuaia/",2020-05-16,"Active",2020-12-07,3,0
"159","R-Ladies Podgorica","Podgorica","Montenegro","Europe",25,"https://www.meetup.com/rladies-podgorica/",2019-09-18,"Inactive",2019-10-03,1,0
"160","R-Ladies Al-Khartum","al-Khartum","Sudan","Africa",38,"https://www.meetup.com/rladies-al-khartum/",2019-11-23,"Unbegun",NA,0,0
"161","R-Ladies Eskisehir","Eskisehir","Turkey","Europe",116,"https://www.meetup.com/rladies-eskisehir/",2019-11-13,"Active",2020-07-15,10,0
"162","R-Ladies Masqat","Muscat","Oman","Asia",115,"https://www.meetup.com/rladies-masqat/",2019-10-31,"Inactive",2020-02-08,1,0
"163","R-Ladies Oxford Ohio","Oxford","USA","US/Canada",48,"https://www.meetup.com/rladies-oxford-ohio/",2019-11-23,"Active",2020-11-10,3,0
"164","R-Ladies Calgary","Calgary","Canada","US/Canada",103,"https://www.meetup.com/rladies-calgary/",2019-09-14,"Inactive",2020-02-01,1,0
"165","R-Ladies Beijing","Beijing","China","Asia",55,"https://www.meetup.com/rladies-beijing/",2019-11-13,"Inactive",2020-07-09,3,0
"166","R-Ladies Bogor","Bogor","Indonesia","Asia",277,"https://www.meetup.com/rladies-bogor/",2019-04-07,"Inactive",2020-02-29,8,0
"167","R-Ladies Nelson","Nelson","New Zealand","Australia",12,"https://www.meetup.com/rladies-nelson/",2019-03-23,"Unbegun",NA,0,0
"168","R-Ladies Queretaro","Querétaro","Mexico","Latin America",521,"https://www.meetup.com/rladies-queretaro/",2019-03-30,"Active",2020-12-10,12,0
"169","R-Ladies Lagos","Lagos","Nigeria","Africa",290,"https://www.meetup.com/rladies-lagos/",2019-08-16,"Inactive",2020-02-22,3,0
"170","R-Ladies Floripa","Florianópolis","Brazil","Latin America",445,"https://www.meetup.com/rladies-florianopolis/",2019-04-07,"Inactive",2020-02-19,8,0
"171","R-Ladies Medellín","Medellín","Colombia","Latin America",431,"https://www.meetup.com/rladies-medellin/",2019-09-28,"Active",2020-11-18,5,0
"172","R-Ladies Pachuca","Pachuca","Mexico","Latin America",11,"https://www.meetup.com/rladies-pachuca/",2019-09-15,"Unbegun",NA,0,0
"173","R-Ladies Galapagos Islands","Puerto Ayora","Ecuador","Pacific/Galapagos",237,"https://www.meetup.com/rladies-galapagos-islands/",2020-01-12,"Active",2020-10-10,10,0
"174","R-Ladies Banda Aceh","Banda Aceh","Indonesia","Asia",36,"https://www.meetup.com/rladies-banda-aceh/",2020-06-24,"Active",2020-11-29,2,0
"175","R-Ladies Bangalore","Bangalore","India","Asia",91,"https://www.meetup.com/rladies-bangalore/",2020-08-12,"Active",2020-12-12,5,1
"176","R-Ladies Asunción","Asunción","Paraguay","Latin America",69,"https://www.meetup.com/rladies-asuncion/",2020-07-03,"Active",2020-07-11,1,0
"177","R-Ladies Barranquilla","Barranquilla","Colombia","Latin America",211,"https://www.meetup.com/rladies-barranquilla/",2020-05-02,"Active",2020-11-14,5,0
"178","R-Ladies Tunis","Tunis","Tunisia","Africa",448,"https://www.meetup.com/rladies-tunis/",2020-05-15,"Active",2020-12-15,17,1
"179","R-Ladies Algiers","al-Jaza´ir","Algeria","Africa",125,"https://www.meetup.com/rladies-algiers/",2020-05-02,"Active",2020-11-24,3,0
"180","R-Ladies Natal","Natal","Brazil","Latin America",347,"https://www.meetup.com/rladies-natal/",2020-06-07,"Active",2020-10-09,6,0
"181","R-Ladies Curitiba","Curitiba","Brazil","Latin America",46,"https://www.meetup.com/rladies-curitiba/",2020-06-12,"Active",2020-12-01,3,0
"182","R-Ladies Waltham","Waltham","USA","US/Canada",25,"https://www.meetup.com/rladies-waltham/",2020-07-03,"Active",2020-11-13,1,0
