"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"438","R Addicts Paris","Paris","France","Europe",1782,"https://www.meetup.com/rparis/",2013-03-21,28,0,"public",2020-10-14,48.86,2.34
"439","R-Ladies Budapest","Budapest","Hungary","Europe",862,"https://www.meetup.com/rladies-budapest/",2017-01-24,33,0,"public",2020-01-29,47.51,19.08
"440","R-Ladies Rotterdam","Rotterdam","Netherlands","Europe",507,"https://www.meetup.com/rladies-rotterdam/",2017-12-05,16,0,"public",2020-12-22,51.93,4.48
"441","R-Ladies Utrecht","Utrecht","Netherlands","Europe",202,"https://www.meetup.com/rladies-utrecht/",2019-06-10,6,0,"public",2021-03-11,52.1,5.11
"442","trigeR - Trójmiejska Grupa Entuzjastów R","Gdansk","Poland","Europe",342,"https://www.meetup.com/Trojmiejska-Grupa-Entuzjastow-R/",2016-12-14,19,0,"public",2020-09-24,54.36,18.64
"443","R-Ladies Copenhagen","Copenhagen","Denmark","Europe",460,"https://www.meetup.com/rladies-copenhagen/",2017-11-20,10,0,"public",2019-12-05,55.68,12.57
"444","Dr. Stats","Belo Horizonte","Brazil","Latin America",50,"https://www.meetup.com/Dr-Stats/",2016-10-15,1,0,"public",2016-10-27,-19.92,-43.94
"445","R-Ladies Stockholm","Stockholm","Sweden","Europe",393,"https://www.meetup.com/rladies-stockholm/",2018-08-16,7,0,"public",2019-11-26,59.33,18.07
"446","R-Ladies Niterói","Niterói","Brazil","Latin America",753,"https://www.meetup.com/rladies-niteroi/",2018-06-04,9,0,"public",2020-10-06,-22.9,-43.13
"447","São Paulo R Users Group","São Paulo","Brazil","Latin America",1991,"https://www.meetup.com/useR-SP/",2015-05-30,24,0,"public_limited",2016-12-23,-23.53,-46.63
"448","R-Ladies Porto Alegre","Porto Alegre","Brazil","Latin America",360,"https://www.meetup.com/rladies-porto-alegre/",2017-10-30,7,0,"public",2020-07-30,-30.04,-51.22
"449","GURU::mvd","Montevideo","Uruguay","Latin America",349,"https://www.meetup.com/GURU-mvd/",2018-10-04,5,0,"public",2020-01-29,-34.87,-56.17
"450","NYC Deep Learning Research Meetup","New York","USA","US/Canada",312,"https://www.meetup.com/Deep-Learning-Research-NYC/",2018-05-08,2,0,"public",2018-05-24,40.75,-73.99
"451","NYC Julia User Group","New York","USA","US/Canada",732,"https://www.meetup.com/julia-nyc/",2013-08-08,14,0,"public",2020-04-17,40.71,-74.01
"452","R-Ladies Santa Rosa","Santa Rosa","Argentina","Latin America",141,"https://www.meetup.com/rladies-santa-rosa/",2017-04-06,18,0,"public",2021-04-28,-36.62,-64.3
"453","R-Ladies Highland Park","Highland Park","USA","US/Canada",67,"https://www.meetup.com/rladies-highland-park/",2019-05-09,4,0,"public",2019-12-02,40.5,-74.43
"454","R-Ladies Cusco","Cusco","Peru","Latin America",25,"https://www.meetup.com/rladies-cusco/",2020-05-09,2,0,"public",2020-12-16,-13.52,-71.99
"455","Statistical Seminars","Washington","USA","US/Canada",1345,"https://www.meetup.com/Statistical-seminars/",2015-12-24,63,0,"public_limited",2019-02-02,38.91,-77.02
"456","R-Ladies Charlottesville","Charlottesville","USA","US/Canada",418,"https://www.meetup.com/rladies-charlottesville/",2017-09-21,18,0,"public",2020-06-16,38,-78.46
"457","R-Ladies Toronto","Toronto","Canada","US/Canada",630,"https://www.meetup.com/rladies-toronto/",2018-09-18,6,0,"public",2020-08-12,43.74,-79.36
"458","Grupo de Usuarios de R en Chile","Santiago","Chile","Latin America",1940,"https://www.meetup.com/useRchile/",2013-01-22,44,0,"public",2020-09-29,-33.46,-70.64
"459","R-Ladies Twin Cities","Minneapolis","USA","US/Canada",417,"https://www.meetup.com/rladies-tc/",2015-04-01,46,0,"public",2021-04-14,44.94,-93.22
"460","Chiang Mai R Users Group","Chiang Mai","Thailand","Asia",81,"https://www.meetup.com/ChiangMaiR/",2015-04-14,0,0,"public",1970-01-01,18.8,98.98
"461","R-Ladies Xalapa","Xalapa","Mexico","Latin America",464,"https://www.meetup.com/rladies-xalapa/",2018-07-30,23,0,"public_limited",2021-05-05,19.53,-96.92
"462","Querétaro Business Analytics Users Group","Querétaro","Mexico","Latin America",404,"https://www.meetup.com/Queretaro-Business-Analytics-Users-Group/",2015-11-10,5,0,"public",2018-02-02,20.59,-100.4
"463","R-Ladies Riverside","Riverside","USA","US/Canada",377,"https://www.meetup.com/rladies-riverside/",2019-08-02,9,0,"public",2021-04-13,33.99,-117.37
