Year	Project	WorkProduct	Student	Mentors
2013	Linear factor model for asset returns	Package	Yi-An Chen	Brian Peterson, Peter Carl, Eric Zivot, Doug Martin
2014	animint	Package	Carson Sievert	Toby Hocking, Susan VanderPlas
2014	pbdPROF: Profiling Tools for High Performance Computing with R	Package	Christian Heckendorf	Wei-Chen Chen, Drew Schmidt
2014	Generalized Linear Mixed Models via Monte Carlo Likelihood Approximation	Package	Christina Knudson	Charles Geyer, Galin Jones
2014	Kernel Density Estimation and Nonparametric Discriminant Analysis for FD	Package	dapr12	Virgilio Gómez-Rubio, Peter Foster
2014	Improving the R-interactive-Graphics-via-HTml (RIGHT) Package	Visualization	Jong Hyun Bae	Junghoon
2014	rOptManifold: An R Package for Optimization over Matrix Manifolds	Package	Kejun He	Jianhua, Yihui Xie
2014	Tools for composite index analysis	Package	Keshav Pratap	Valentin
2014	PhyloVS: phylogeny-constrained regularization and variable selection	Package	lichenbiostat86	Jun Chen
2014	Spot volatility estimation: Methods and applications	Application	Maarten Schermer	Jonathan Cornelissen, Kris Boudt, Daniele Signori
2014	Tools for pre and post processing of data for Ecological niche models	Data	Narayani Barve	RobGur, Jorge Soberón
2014	Extending mzR	Package	Qiang Kou	Steffen Neumann, Claudia Beleites, Laurent
2014	Turning R objects into Pandoc's markdown	Package	Roman Tsegelskyi	Gergely Daróczi
2014	PortfolioAnalytics_Ross_Bennett	Package	Ross Bennett	Doug Martin, Brian Peterson, Peter Carl
2014	Proposal_FactorAnalytics_Sangeetha_Srinivasan	Package	Sangeetha Srinivasan	Eric Zivot, Doug Martin, Guy Yollin, Peter Carl
2014	bdvis: Biodiversity data visualizations	Visualization	Vijay Barve	Virgilio Gómez-Rubio, Jorge Soberón
2014	Dimension Reduction Methods for Multivariate Time Series	Package	wbnicholson	jbien, David S. Matteson
2014	GenPCA: A Generalized PCA Toolkit for High-dimensional Data Analysis in R	Package	Xingguo Li	Tuo Zhao
2015	Test timings on Travis	Package	Akash Tandon	Toby Hocking, Hadley Wickham
2015	Convert Dowd's Code	Package	Dinesh	Brian Peterson, Peter Carl
2015	Subsetted and parallel computations in matrixStats 	Package	Dongcan Jiang	Henrik Bengtsson, Héctor Corrada Bravo
2015	Cov Matrix Estimation for MCMC	Package	Dootika Vats	John Hughes, Charles Geyer
2015	Predict methods for spatial econometrics	Package	Martin Gubri	Roger Bivand, Giovanni Millo
